"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"U8";"SHIELD XL1278";1;"~";;;
2;"F1";"Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal";1;"Fuse";;;
3;",,,,,,,";"";8;"";;;
4;"C5,C4,C3,C1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";4;"1uF";;;
5;"U3";"tft_3.5_display";1;"~";;;
6;"Q1,Q2";"TO-92_Inline";2;"2N3904";;;
7;"R5,R3,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"10k";;;
8;"U4";"esp32";1;"~";;;
9;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"servo";;;
10;"SW2";"SW_PUSH-12mm_Wuerth-430476085716";1;"SW1";;;
11;"U2";"module_MPU6050";1;"module_mpu6050";;;
12;"U1";"GY-NEO6MV2";1;"~";;;
13;"SW4,SW3";"SW_PUSH-12mm_Wuerth-430476085716";2;"SW_DPST_x2";;;
14;"J1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"BATERIAS_PC";;;
15;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
16;"J2";"TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm";1;"Cableado_hacia_auto";;;
17;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"BOCINA";;;
18;"C2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"0.33uF";;;
19;"U6";"TO-220-3_Vertical";1;"L7805";;;
20;"SW1";"SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm";1;"SW_DPST_x2";;;
